Time,Data,Simulation
161.658,1.2999999999999998,4.789432560743312
161.66,1.2000000000000002,4.7098649840328335
161.662,1.2000000000000002,4.628513293089169
161.664,1.2999999999999998,4.545393486850157
161.666,1.2999999999999998,4.460521910767475
161.668,1.2999999999999998,4.373915253603109
161.67,1.2999999999999998,4.285590544169416
161.672,1.2000000000000002,4.195565147991612
161.674,1.2000000000000002,4.103856763903672
161.676,1.2000000000000002,4.010483420590336
161.678,1.2000000000000002,3.915463473052799
161.68,1.2000000000000002,3.8188155990098194
161.682,1.2000000000000002,3.720558795247512
161.684,1.2000000000000002,3.6207123738943063
161.686,1.2000000000000002,3.5192959586333292
161.688,1.2000000000000002,3.41632948086628
161.69,1.2000000000000002,3.311833175803952
161.692,1.1,3.205827578496427
161.694,1.1,3.0983335198175617
161.696,1.1,2.989372122377806
161.698,1.2000000000000002,2.87896479637901
161.7,1.2000000000000002,2.7671332354264444
161.702,1.2000000000000002,2.6538994122709405
161.704,1.1,2.539285574495481
161.706,1.1,2.4233142401619694
161.708,1.1,2.306008193390084
161.71,1.1,2.187390479883097
161.712,1.1,2.0674844024186747
161.714,1.1,1.946313516263559
161.716,1.1,1.8239016245635284
161.718,1.1,1.7002727736673104
161.72,1.1,1.575451248401917
161.722,1.1,1.4494615673165399
161.724,1.1,1.322328477864308
161.726,1.0,1.1940769515382879
161.728,1.0,1.0647321789792954
161.73,1.0,0.9343195650239763
161.732,1.1,0.8028647237100117
161.734,1.1,0.6703934732564739
161.736,1.0,0.536931830986942
161.738,1.0,0.40250600821275656
161.74,1.0,0.26714240509477094
161.742,1.0,0.1308676054505006
161.744,0.8999999999999999,0.0
161.746,1.0,0.0
161.748,1.0,0.0
161.75,1.0,0.0
161.752,0.8999999999999999,0.0
161.754,0.8999999999999999,0.0
161.756,0.8999999999999999,0.0
161.758,0.7999999999999998,0.0
161.76,0.7999999999999998,0.0
161.762,0.7999999999999998,0.0
161.764,0.7999999999999998,0.0
161.766,0.7999999999999998,0.0
161.768,0.7999999999999998,0.0
161.77,0.7999999999999998,0.0
161.772,0.7999999999999998,0.0
161.774,0.7000000000000002,0.0
161.776,0.7000000000000002,0.0
161.778,0.7000000000000002,0.0
161.78,0.7000000000000002,0.0
161.782,0.7000000000000002,0.0
161.784,0.7000000000000002,0.0
161.786,0.7000000000000002,0.0
161.788,0.6000000000000001,0.0
161.79,0.6000000000000001,0.0
161.792,0.6000000000000001,0.0
161.794,0.6000000000000001,0.0
161.796,0.6000000000000001,0.0
161.798,0.6000000000000001,0.0
161.8,0.6000000000000001,0.0
161.802,0.6000000000000001,0.0
161.804,0.6000000000000001,0.0
161.806,0.5,0.0
161.808,0.5,0.0
161.81,0.3999999999999999,0.0
161.812,0.3999999999999999,0.0
161.814,0.3999999999999999,0.0
161.816,0.5,0.0
161.818,0.5,0.0
161.82,0.3999999999999999,0.0
161.822,0.3999999999999999,0.0
161.824,0.3999999999999999,0.0
161.826,0.2999999999999998,0.0
161.828,0.3999999999999999,0.0
161.83,0.3999999999999999,0.0
161.832,0.3999999999999999,0.0
161.834,0.3999999999999999,0.0
161.836,0.2999999999999998,0.0
161.838,0.2999999999999998,0.0
161.84,0.2999999999999998,0.0
161.842,0.2999999999999998,0.0
161.844,0.2999999999999998,0.0
161.846,0.2999999999999998,0.0
161.848,0.2999999999999998,0.0
161.85,0.3999999999999999,0.0
161.852,0.3999999999999999,0.0
161.854,0.2999999999999998,0.0
161.856,0.2999999999999998,0.0
161.858,0.2999999999999998,0.0
161.86,0.2999999999999998,0.0
161.862,0.2999999999999998,0.0
161.864,0.2999999999999998,0.0
161.866,0.2999999999999998,0.12513132299499102
161.868,0.2999999999999998,0.26117966038166074
161.87,0.2999999999999998,0.3963106557473811
161.872,0.2999999999999998,0.5304978209501321
161.874,0.2999999999999998,0.663714854116322
161.876,0.2999999999999998,0.7959356448041022
161.878,0.2999999999999998,0.9271342791113065
161.88,0.3999999999999999,1.0572850447611235
